Gdansk;2;nazwa1
Gdansk;3;nazwa11
Gdansk;4;nazwa12
Gdansk;4;nazwa13
Gdansk;2;nazwa15
Gdansk;5;nazwa17
Gdansk;3;nazwa18
Gdansk;4;nazwa19
Gdansk;1;nazwa2
Gdansk;3;nazwa4
Gdansk;1;nazwa5
Gdansk;1;nazwa6
Gdansk;1;nazwa8
Gdansk;6;nazwa9
Katowice;4;nazwa1
Katowice;7;nazwa11
Katowice;2;nazwa13
Katowice;1;nazwa14
Katowice;1;nazwa15
Katowice;3;nazwa17
Katowice;6;nazwa18
Katowice;6;nazwa19
Katowice;1;nazwa2
Katowice;3;nazwa5
Katowice;2;nazwa6
Katowice;1;nazwa7
Katowice;2;nazwa8
Katowice;3;nazwa9
Kielce;3;nazwa1
Kielce;2;nazwa12
Kielce;2;nazwa13
Kielce;2;nazwa17
Kielce;3;nazwa18
Kielce;6;nazwa19
Kielce;2;nazwa2
Kielce;1;nazwa4
Kielce;3;nazwa5
Kielce;1;nazwa6
Kielce;2;nazwa7
Kielce;3;nazwa8
Kielce;5;nazwa9
Kraków;4;nazwa1
Kraków;3;nazwa11
Kraków;3;nazwa12
Kraków;3;nazwa13
Kraków;2;nazwa17
Kraków;1;nazwa18
Kraków;4;nazwa19
Kraków;1;nazwa2
Kraków;1;nazwa3
Kraków;1;nazwa4
Kraków;3;nazwa5
Kraków;3;nazwa7
Kraków;3;nazwa9
Lódz;7;nazwa1
Lódz;5;nazwa11
Lódz;2;nazwa12
Lódz;3;nazwa13
Lódz;2;nazwa15
Lódz;4;nazwa17
Lódz;3;nazwa18
Lódz;6;nazwa19
Lódz;1;nazwa2
Lódz;2;nazwa4
Lódz;2;nazwa5
Lódz;2;nazwa6
Lódz;2;nazwa8
Lódz;9;nazwa9
Olsztyn;3;nazwa1
Olsztyn;4;nazwa11
Olsztyn;2;nazwa14
Olsztyn;2;nazwa15
Olsztyn;4;nazwa17
Olsztyn;3;nazwa18
Olsztyn;3;nazwa19
Olsztyn;1;nazwa2
Olsztyn;4;nazwa5
Olsztyn;1;nazwa8
Olsztyn;3;nazwa9
Poznan;3;nazwa11
Poznan;2;nazwa12
Poznan;1;nazwa13
Poznan;4;nazwa17
Poznan;5;nazwa18
Poznan;5;nazwa19
Poznan;5;nazwa2
Poznan;1;nazwa3
Poznan;2;nazwa4
Poznan;3;nazwa5
Poznan;1;nazwa8
Poznan;3;nazwa9
Radom;6;nazwa1
Radom;7;nazwa11
Radom;3;nazwa12
Radom;4;nazwa13
Radom;1;nazwa15
Radom;4;nazwa17
Radom;5;nazwa18
Radom;3;nazwa19
Radom;6;nazwa2
Radom;3;nazwa4
Radom;1;nazwa5
Radom;5;nazwa6
Radom;1;nazwa7
Radom;1;nazwa8
Radom;5;nazwa9
Rzeszów;4;nazwa1
Rzeszów;2;nazwa11
Rzeszów;3;nazwa12
Rzeszów;1;nazwa13
Rzeszów;2;nazwa15
Rzeszów;1;nazwa17
Rzeszów;1;nazwa18
Rzeszów;5;nazwa19
Rzeszów;1;nazwa2
Rzeszów;2;nazwa3
Rzeszów;1;nazwa4
Rzeszów;4;nazwa5
Rzeszów;1;nazwa7
Rzeszów;3;nazwa9
Szczecin;1;nazwa1
Szczecin;4;nazwa11
Szczecin;2;nazwa12
Szczecin;1;nazwa13
Szczecin;2;nazwa17
Szczecin;3;nazwa18
Szczecin;5;nazwa19
Szczecin;4;nazwa2
Szczecin;2;nazwa3
Szczecin;2;nazwa4
Szczecin;3;nazwa5
Szczecin;2;nazwa7
Szczecin;3;nazwa8
Szczecin;6;nazwa9
Warszawa;5;nazwa1
Warszawa;6;nazwa11
Warszawa;5;nazwa12
Warszawa;6;nazwa13
Warszawa;4;nazwa14
Warszawa;2;nazwa15
Warszawa;6;nazwa17
Warszawa;4;nazwa18
Warszawa;7;nazwa19
Warszawa;3;nazwa2
Warszawa;1;nazwa3
Warszawa;2;nazwa4
Warszawa;8;nazwa5
Warszawa;3;nazwa6
Warszawa;2;nazwa8
Warszawa;5;nazwa9
Wroclaw;4;nazwa1
Wroclaw;5;nazwa11
Wroclaw;4;nazwa12
Wroclaw;5;nazwa13
Wroclaw;1;nazwa14
Wroclaw;1;nazwa15
Wroclaw;4;nazwa17
Wroclaw;3;nazwa18
Wroclaw;3;nazwa19
Wroclaw;1;nazwa2
Wroclaw;2;nazwa3
Wroclaw;3;nazwa4
Wroclaw;3;nazwa5
Wroclaw;2;nazwa9
