lg0;lg;6789;9
lg12;lg;2883;1
lg24;lg;5738;6
lg36;lg;1751;3
lg48;lg;3521;14
lg60;lg;3476;2
lg72;lg;4791;2
lg84;lg;6117;13
lg96;lg;2956;6
lg108;lg;6545;9
lg120;lg;7218;11
lg132;lg;4505;1
lg144;lg;7741;14
lg156;lg;3099;4
lg168;lg;6345;13
lg180;lg;5742;1
lg192;lg;1485;13
lg204;lg;2953;4
lg216;lg;1144;3
lg228;lg;7706;6
lg240;lg;6190;5
lg252;lg;3944;5
lg264;lg;4919;14
lg276;lg;5883;8
lg288;lg;3054;14
lg300;lg;3342;7
lg312;lg;2692;1
lg324;lg;1651;7
lg336;lg;5674;12
lg348;lg;1097;14
lg360;lg;7179;4
lg372;lg;1622;13
lg384;lg;6049;7
lg396;lg;7586;12
lg408;lg;1112;8
lg420;lg;5043;3
lg432;lg;4096;10
lg444;lg;3080;7
lg456;lg;5513;14
lg468;lg;4618;6
